"ads","Название","price","Статус","date","Адрес","Застройщик","Ссылка","class","floor","ceiling","structure","finishing","Количество.квартир","kitchen","heating","Лифт","Фасад","parking","Квартир.в.продаже","city"
47,"ЖК Наследие в Алматы",7e+05,"Строящийся","III квартал 2025 г.","Алматы, Бостандыкский р-н, Радостовца, 169","ТОО Интерфинанс","https://krisha.kz/complex/show/almaty/nasledie/","comfort","9 этажей","2.8 м","monolithic","shell",96,"discrete","central","пассажирский","вентилируемый фасад","underground","70","almaty"
48,"ЖК OLYMPIC PARK в Алматы",350000,"Строящийся","Первая очередь - III квартал 2025 г.Вторая очередь - I квартал 2026 г.","Алматы, Алатауский р-н, ​Проспект Турара Рыскулова, 29/1а","Sensata Group ТОО","https://krisha.kz/complex/show/almaty/olympicpark/","comfort","9-12 этажей","3 м","monolithic","pre-finish",403,"na","central","грузовой, пассажирский","фиброцементные панели","both","Не указано","almaty"
49,"ЖК Sky Park в Алматы",1100000,"Строящийся","I квартал 2025 г.","Алматы, Медеуский р-н, ул. Тайманова 151/1","Atrium Plus","https://krisha.kz/complex/show/almaty/skypark/","elite","3 этажа","3.15 м","monolithic","shell",73,"discrete","central","грузопассажирский","натуральный камень","underground","73","almaty"
50,"ЖК Rams Signature в Алматы",1100000,"Строящийся","II квартал 2025 г.","Алматы, Бостандыкский р-н, ул. Тимирязева угол ул. Байтурсынова","Рамс Казахстан","https://krisha.kz/complex/show/almaty/ramssignature/","business","8-9 этажей","3 м","monolithic","finish",496,"discrete","central","грузовой, пассажирский","Не указано","underground","Не указано","almaty"
51,"Клубный дом Tau Residence в Алматы",4e+05,"Строящийся","II квартал 2025 г.","Алматы, мкр. Таужолы, уч. 3711","DALA SK","https://krisha.kz/complex/show/almaty/tauresidence/","business","3 этажа","3 м","monolithic","pre-finish",36,"discrete","central","Не указано","фиброцементные панели","surface","36","almaty"
52,"ЖК Ulytau в Алматы",459100,"Строящийся","I квартал 2025 г.","Алматы, Наурызбайский р-н, мкрн Шугыла, 340/5","Qazaq stroy TOO","https://krisha.kz/complex/show/almaty/ulytau/","economy","9 этажей","2.7 м","monolithic","shell",1392,"discrete","central","грузопассажирский","фиброцементные панели, травертин","surface","119","almaty"
53,"ЖК 12 месяцев в Алматы",470000,"Строящийся","Первая очередь - I квартал 2020 г.Вторая очередь - I квартал 2025 г.","Алматы, Алмалинский р-н, ул. Муратбаева, 14","Qazaq stroy TOO","https://krisha.kz/complex/show/almaty/12mesyacev/","economy","13 этажей","3 м","monolithic","shell",780,"na","central","грузовой, грузопассажирский","фиброцементные панели","underground","450","almaty"
54,"ЖК Nurly Dala 2 в Алматы",455000,"Строящийся","III квартал 2024 г.","Алматы, пр. Райымбека, 590/7","ТОО ""Строй Комфорт Девелопмент""","https://krisha.kz/complex/show/almaty/nurlydala2/","economy","9 этажей","2.62 м","monolithic","shell",66,"na","central","пассажирский","Не указано","surface","Не указано","almaty"
55,"ЖК Айнабулак 33/2 в Алматы",393000,"Строящийся","III квартал 2024 г.","Алматы, Жетысуский р-н, мкр. Айнабулак, участок 33/2","Центр СМР","https://krisha.kz/complex/show/almaty/ainabulak/","economy","5 этажей","2.8 м","monolithic","shell",60,"discrete","central","Не указано","фиброцементные панели","surface","60","almaty"
56,"ЖК ABAI CITY в Алматы",330000,"Строящийся","Первая очередь - III квартал 2024 г.Вторая очередь - IV квартал 2024 г.","Алматы, Наурызбайский р-н, ул. Алтын Орда, 7/1а","Time Group","https://krisha.kz/complex/show/almaty/abaicity/","comfort","10 этажей","2.7 м","monolithic","pre-finish",1040,"na","central","пассажирский","Не указано","surface","338","almaty"
57,"ЖК ADELE в Алматы",353000,"Строящийся","I квартал 2024 г.","Алматы, Ауэзовский р-н, Тастак-1 м-н","Qazaq stroy TOO","https://krisha.kz/complex/show/almaty/adele/","comfort","12 этажей","3 м","monolithic","shell",1149,"na","central","грузопассажирский","Не указано","underground","600","almaty"
58,"ЖК Aisafi в Алматы",NA,"Строящийся","Первая очередь - I квартал 2024 г.Вторая очередь - IV квартал 2024 г.Третья очередь - IV квартал 2024 г.","Алматы, Алатауский р-н, ул. Басаркобыз, 1/15","Magistral-S","https://krisha.kz/complex/show/almaty/aisafi/","comfort","5 этажей","3 м","monolithic","pre-finish",300,"na","central","Не указано","фиброцементные панели","surface","Не указано","almaty"
59,"Клубный дом Alma Garden в Алматы",1200000,"Строящийся","II квартал 2024 г.","Алматы, ул. 6-я улица, 256/79​","Abra Development","https://krisha.kz/complex/show/almaty/almagarden/","elite","3 этажа","3.2 м","monolithic","pre-finish",24,"na","na","Не указано","Не указано","underground","Не указано","almaty"
60,"ЖК Alma Villa Deluxe в Алматы",7e+05,"Строящийся","I квартал 2024 г.","Алматы, ул. Талды, 59","R2Group","https://krisha.kz/complex/show/almaty/almavilladeluxe/","business","3 этажа","3 м","brick","shell",75,"na","autonomous","грузопассажирский","Не указано","underground","Не указано","almaty"
61,"ЖК Auezov Apartaments в Алматы",NA,"Строящийся","2024 г.","Алматы, Алмалинский р-н, ул. ​Ауэзова, 19","Garant Ltd Service","https://krisha.kz/complex/show/almaty/auezovapartments/","comfort","9 этажей","3 м","monolithic","shell",90,"na","central","Не указано","Не указано","na","Не указано","almaty"
62,"ЖК Meridian Apartments в Алматы",NA,"Строящийся","II квартал 2024 г.","Алматы, Алмалинский р-н, пересечение пр. Сейфуллина и ул. Макатаева","Sensata Group ТОО","https://krisha.kz/complex/show/almaty/meridianapartments/","business","7-12 этажей","3 м","monolithic","shell",1044,"discrete","central","Не указано","фиброцементные панели","underground","1044","almaty"
63,"ЖК Apple Park в Алматы",6e+05,"Строящийся","Первая очередь - IV квартал 2024 г.Вторая очередь - IV квартал 2024 г.","Алматы, Наурызбайский р-н, ул. Акселеу Сейдембек, 105/6","ТОО Almaty Investment Group Construction","https://krisha.kz/complex/show/almaty/applepark/","business","5-6 этажей","3.3 м","monolithic","shell",162,"both","autonomous","пассажирский","керамическая плитка, декоративная штукатурка","both","11","almaty"
64,"ЖК Arena Sunset в Алматы",450000,"Строящийся","III квартал 2024 г.","Алматы, Алатауский р-н, Бауыржана Момышулы, 11/1","Build Your Dreams","https://krisha.kz/complex/show/almaty/arenasunset/","comfort","9-12 этажей","2.8 м","monolithic","pre-finish",214,"discrete","central","грузовой, пассажирский","Не указано","surface","138","almaty"
65,"ЖК Arman City в Алматы",542500,"Строящийся","Первая очередь - II квартал 2024 г.Вторая очередь - II квартал 2025 г.","Алматы, Медеуский р-н, ул. Халиулина 140/5","SABA GROUP KZ","https://krisha.kz/complex/show/almaty/armancity/","comfort","6 этажей","2.85 м","monolithic","shell",1490,"discrete","autonomous","грузопассажирский","фиброцементные панели, клинкерный кирпич","underground","504","almaty"
66,"ЖК Autograph в Алматы",1900000,"Строящийся","IV квартал 2024 г.","Алматы, Медеуский р-н, ул. Жамакаева 191","AKAS Development","https://krisha.kz/complex/show/almaty/autograph/","elite","3 этажа","3.3 м","monolithic","shell",112,"discrete","autonomous","грузопассажирский","Не указано","both","112","almaty"
67,"ЖК Tole BI Residence в Алматы",550000,"Строящийся","2024 г.","Алматы, Алмалинский р-н, ул. Аносова, 103Б","Adal city stroy","https://krisha.kz/complex/show/almaty/tolebiresidence/","business","12 этажей","3 м","monolithic","shell",231,"discrete","central","грузовой, пассажирский","фиброцементные панели","both","55","almaty"
68,"ЖК Buta Fenomen в Алматы",435000,"Строящийся","Первая очередь - II квартал 2024 г.Вторая очередь - III квартал 2024 г.","Алматы, Алатауский р-н, Микрорайон Нуркент","Buta Group","https://krisha.kz/complex/show/almaty/butafenomen/","comfort","6 этажей","2.85 м","monolithic","shell",1126,"discrete","central","грузопассажирский","клинкерный кирпич","surface","193","almaty"
69,"ЖК Centrium в Алматы",820000,"Строящийся","Первая очередь - III квартал 2024 г.Вторая очередь - I квартал 2025 г.","Алматы, Бостандыкский р-н, ул. Абая, 118","Crystal Solutions","https://krisha.kz/complex/show/almaty/centrium/","business","9 этажей","3 м","monolithic","shell",800,"discrete","central","грузовой, пассажирский","Не указано","underground","174","almaty"
70,"ЖК Kokjiek City в Алматы",310000,"Строящийся","IV квартал 2024 г.","Алматы, Жетысуский р-н, ул. Жолымбет, 42/5","Time Group","https://krisha.kz/complex/show/almaty/kokjiekcity/","comfort","9 этажей","2.7 м","monolithic","shell",1476,"discrete","autonomous","грузопассажирский","фиброцементные панели","surface","289","almaty"
71,"ЖК Qargaly City в Алматы",370000,"Строящийся","Первая очередь - I квартал 2024 г.Вторая очередь - III квартал 2024 г.","Алматы, Алатауский р-н, мкрн Аккент, ул. Шарипа Омарова угол ул. Фаризы Онгарсыновой","Exclusive Qurylys","https://krisha.kz/complex/show/almaty/qargalycity/","comfort","12 этажей","2.85 м","monolithic","shell",4284,"discrete","central","грузовой","фиброцементные панели","surface","4284","almaty"
72,"ЖК DAS HAUSE в Алматы",1400000,"Строящийся","III квартал 2024 г.","Алматы, Медеуский р-н, ул.Чайкиной, 5/1","Invescore Alma","https://krisha.kz/complex/show/almaty/dashause/","elite","3 этажа","3 м","monolithic","pre-finish",26,"discrete","central","пассажирский","натуральный камень","underground","16","almaty"
73,"ЖК Достар Deluxe в Алматы",310000,"Строящийся","II квартал 2024 г.","Алматы, Алатауский р-н, мкр. Мадениет 185/8","Relaible Building Company","https://krisha.kz/complex/show/almaty/dostardeluxe/","comfort","5 этажей","3 м","monolithic","shell",700,"discrete","central","Не указано","фиброцементные панели","surface","550","almaty"
74,"ЖК Estet в Алматы",985000,"Строящийся","Первая очередь - III квартал 2023 г.Вторая очередь - IV квартал 2023 г.Третья очередь - II квартал 2024 г.Четвертая очередь - IV квартал 2024 г.","Алматы, Бостандыкский р-н, ул. ​Розыбакиева, 197/2","BAZIS–А","https://krisha.kz/complex/show/almaty/estet/","business","12-16 этажей","3 м","monolithic","pre-finish",500,"both","central","пассажирский, грузопассажирский","клинкерный кирпич, натуральный камень","underground","Не указано","almaty"
75,"ЖК Exclusive Opera в Алматы",2300000,"Строящийся","2024 г.","Алматы, Медеуский р-н, пр-т Назарбаева, 124а","Exclusive Qurylys","https://krisha.kz/complex/show/almaty/exclusiveopera/","elite","5 этажей","3.3 м","monolithic","shell",63,"discrete","central","грузопассажирский","натуральный камень","underground","36","almaty"
76,"Клубный дом Горная Жемчужина в Алматы",390000,"Строящийся","III квартал 2024 г.","Алматы, Наурызбайский р-н, улица Жартас, участок 45","Lider Damu Group","https://krisha.kz/complex/show/almaty/gornayajemchuzhina/","comfort","3 этажа","3 м","monolithic","shell",36,"discrete","autonomous","Не указано","фиброцементные панели","surface","16","almaty"
77,"ЖК Hayat Meliora в Алматы",980000,"Строящийся","II квартал 2024 г.","Алматы, Медеуский р-н, ул. Сагадат Нурмагамбетов, 28","Hayat Construction Group","https://krisha.kz/complex/show/almaty/hayatmeliora/","elite","7 этажей","3.3 м","brick","shell",280,"discrete","autonomous","грузовой","Не указано","underground","47","almaty"
78,"ЖК Orion III в Алматы",1042500,"Строящийся","Первая очередь - IV квартал 2018 г.Вторая очередь - II квартал 2022 г.Третья очередь - IV квартал 2024 г.","Алматы, Бостандыкский р-н, пр. Аль-Фараби, 9 блок 5г","BAZIS–А","https://krisha.kz/complex/show/orion-residence/","business","33 этажа","2.95 м","monolithic","pre-finish",277,"both","central","грузовой, пассажирский, грузопассажирский","стеклянный фасад","underground","Не указано","almaty"
79,"Таунхаус Sunday Terrace на Айтматова в Алматы",525000,"Строящийся","II квартал 2024 г.","Алматы, ул. Шынгыс Айтматов, 87/1","ТОО ЖВК","https://krisha.kz/complex/show/almaty/sundayterrace/","business","2 этажа","3.3 м","brick","shell",14,"na","autonomous","Не указано","Не указано","surface","14","almaty"
80,"ЖК Кристалл в Алматы",554000,"Строящийся","III квартал 2024 г.","Алматы, Бостандыкский р-н, ул. Тургут Озала, 237","Qazaq stroy TOO","https://krisha.kz/complex/show/almaty/kristall/","comfort","18-20 этажей","3 м","monolithic","shell",1234,"discrete","central","пассажирский, грузопассажирский","фиброцементные панели","underground","500","almaty"
81,"Коттеджный городок LAKE VILLA в Алматы",466000,"Строящийся","III квартал 2024 г.","Алматы, Карасайский район, с.Елтай, ул. Шабалова Шабалова","Mountain Drive","https://krisha.kz/complex/show/almaty/lakevilla/","comfort","1 этаж","3.2 м","brick","shell",60,"discrete","central","Не указано","фиброцементные панели","surface","45","almaty"
82,"ЖК Lantana в Алматы",350000,"Строящийся","Первая очередь - I квартал 2024 г.Вторая очередь - III квартал 2024 г.Третья очередь - I квартал 2025 г.","Алматы, Наурызбайский р-н, ул. СТ Алмалы, 89","Flora City Stroy","https://krisha.kz/complex/show/almaty/lantana/","comfort","3 этажа","3 м","monolithic","shell",276,"discrete","autonomous","Не указано","Не указано","surface","204","almaty"
83,"ЖК New Life в Алматы",461000,"Строящийся","II квартал 2024 г.","Алматы, Ауэзовский р-н, проспект Райымбека, 348/1","Qazaq Stroy & Галерея Недвижимости","https://krisha.kz/complex/show/almaty/newlife/","comfort","13 этажей","3 м","monolithic","pre-finish",890,"studio","central","пассажирский, грузопассажирский","фиброцементные панели, травертин","both","3","almaty"
84,"ЖК Loro Residence в Алматы",1300000,"Строящийся","III квартал 2024 г.","Алматы, Медеуский р-н, ул.Кошкунова, 4","SD Construction","https://krisha.kz/complex/show/almaty/lororesidence/","business","5 этажей","3.1 м","monolithic","shell",19,"discrete","central","грузопассажирский","Не указано","underground","14","almaty"
85,"ЖК Melody в Алматы",430000,"Строящийся","IV квартал 2024 г.","Алматы, Наурызбайский р-н, мкр Достык, пересечение улиц Илтипат, 49","EPC Group","https://krisha.kz/complex/show/almaty/melody/","business","7 этажей","3 м","monolithic","shell",250,"discrete","central","Не указано","Не указано","underground","250","almaty"
86,"ЖК MEREI в Алматы",405000,"Строящийся","III квартал 2024 г.","Алматы, ул. Сейфулина, 469а​","ТОО Алтын Сапа ALM","https://krisha.kz/complex/show/almaty/merei/","comfort","12 этажей","3 м","monolithic","pre-finish",615,"na","central","грузовой","Не указано","both","615","almaty"
87,"ЖК Mereke в Алматы",380000,"Строящийся","Первая очередь - IV квартал 2024 г.Вторая очередь - III квартал 2025 г.","Алматы, Медеуский р-н, ул. Халиуллина, 196/17","ТОО Интерфинанс","https://krisha.kz/complex/show/almaty/mereke/","comfort","6 этажей","2.7 м","monolithic","shell",506,"na","autonomous","Не указано","фиброцементные панели, гранит","surface","Не указано","almaty"
88,"ЖК Munar Tau в Алматы",660000,"Строящийся","Первая очередь - III квартал 2024 г.Вторая очередь - IV квартал 2024 г.Третья очередь - IV квартал 2024 г.Четвертая очередь - II квартал 2025 г.","Алматы, Наурызбайский р-н, ул. Сейдимбек, 102/2","ТОО Integra Construction KZ","https://krisha.kz/complex/show/almaty/munartau/","comfort","3-4 этажа","3.3 м","monolithic","pre-finish",598,"na","autonomous","пассажирский","hpl-панели, керамический кирпич","both","124","almaty"
89,"ЖК Parasat в Алматы",459000,"Строящийся","Первая очередь - III квартал 2020 г.Вторая очередь - I квартал 2021 г.Третья очередь - III квартал 2022 г.Четвертая очередь - III квартал 2024 г.Пятая очередь - III квартал 2024 г.Шестая очередь - III квартал 2024 г.","Алматы, Турксибский р-н, ул. Сарыарка, 1/1","SHEBERGROUP","https://krisha.kz/complex/show/almaty/parasat/","economy","9 этажей","2.7 м","monolithic","finish",900,"discrete","autonomous","пассажирский","Не указано","surface","213","almaty"
90,"ЖК Питтсбург в Алматы",340000,"Строящийся","III квартал 2024 г.","Алматы, Алатауский р-н, микрарайон Дархан, Сабатаева, 24","Miras Green Technology Building","https://krisha.kz/complex/show/almaty/pittsburg/","comfort","5 этажей","2.7 м","monolithic","shell",496,"na","na","Не указано","Не указано","underground","Не указано","almaty"
91,"ЖК QAZYNA в Алматы",360000,"Строящийся","Первая очередь - I квартал 2024 г.Вторая очередь - II квартал 2025 г.","Алматы, Турксибский р-н, мкр. Кайрат, 135/4","Qazaq Invest Qurylys","https://krisha.kz/complex/show/almaty/qazyna/","comfort","7 этажей","2.8 м","monolithic","shell",403,"both","autonomous","грузопассажирский","фиброцементные панели","surface","80","almaty"
92,"ЖК Zhuldyz Residence в Алматы",7e+05,"Строящийся","II квартал 2024 г.","Алматы, Бостандыкский р-н, мкр.Нурлытау, 12 улица","TTC Group","https://krisha.kz/complex/show/almaty/zhuldyzresidence/","elite","3 этажа","3.3 м","monolithic","shell",80,"discrete","central","грузопассажирский","фиброцементные панели","both","39","almaty"
93,"ЖК Royal Time в Алматы",7e+05,"Строящийся","IV квартал 2024 г.","Алматы, Наурызбайский р-н, Кенесары Хана, 145","Time Group Construction","https://krisha.kz/complex/show/almaty/royaltime/","elite","3 этажа","3 м","monolithic","shell",237,"na","autonomous","грузопассажирский","Не указано","underground","236","almaty"
94,"ЖК Seifullin в Алматы",490000,"Строящийся","IV квартал 2024 г.","Алматы, Алмалинский р-н, ​просп. Райымбека, 162/3","Sensata Group ТОО","https://krisha.kz/complex/show/almaty/seifullin/","comfort","12 этажей","3 м","monolithic","shell",656,"discrete","central","грузопассажирский","фиброцементные панели","underground","656","almaty"
95,"ЖК Сеним в Алматы",NA,"Строящийся","2024 г.","Алматы, Наурызбайский р-н, мкрн Шугыла, ул. Байтели Батыра, 43","ТОО ""АРТ-ТЕХНОСС""","https://krisha.kz/complex/show/almaty/senim/","economy","12 этажей","2.8 м","monolithic","shell",188,"na","na","Не указано","Не указано","na","Не указано","almaty"
96,"ЖК Кинотеатр Шугыла в Алматы",490000,"Строящийся","III квартал 2024 г.","Алматы, Турксибский р-н, ул. Ровенского, 1","ТОО ЕВРАЗИЯ","https://krisha.kz/complex/show/almaty/kinoteatrshugyla/","comfort","5 этажей","2.8 м","monolithic","pre-finish",115,"na","central","пассажирский","Не указано","surface","50","almaty"
97,"ЖК Шынырау в Алматы",335000,"Строящийся","II квартал 2024 г.","Алматы, Наурызбайский р-н, улица Алтын Орда, 6г","Темирбетон-1","https://krisha.kz/complex/show/almaty/shynyray/","comfort","5 этажей","3 м","brick","shell",100,"studio","central","Не указано","фиброцементные панели","underground","Не указано","almaty"
98,"ЖК Tenir в Алматы",330000,"Строящийся","2024 г.","Алматы, Алатауский р-н, Микрорайон Теректи","Time Group","https://krisha.kz/complex/show/almaty/tenir/","comfort","11 этажей","3 м","monolithic","pre-finish",200,"discrete","central","пассажирский","фиброцементные панели","surface","Не указано","almaty"
99,"ЖК Турар в Алматы",375000,"Строящийся","II квартал 2024 г.","Алматы, Турксибский р-н, ул. Туркестан, 115","Тумар Строй Инвест","https://krisha.kz/complex/show/almaty/turar/","comfort","7-9 этажей","2.7 м","monolithic","shell",1513,"discrete","autonomous","пассажирский","Не указано","surface","375","almaty"
100,"ЖК UMAI в Алматы",533000,"Строящийся","III квартал 2024 г.","Алматы, Алмалинский р-н, ул. Сейфуллина, 469а/1","SVOYDOM","https://krisha.kz/complex/show/almaty/umai/","comfort","12 этажей","3 м","monolithic","pre-finish",220,"na","central","грузовой, пассажирский","клинкерный кирпич","both","Не указано","almaty"
101,"Клубный дом Verona в Алматы",720000,"Строящийся","III квартал 2024 г.","Алматы, Бостандыкский р-н, ул. Арайлы, 1в","TOPOLOV GROUP","https://krisha.kz/complex/show/almaty/klubniydomverona/","business","3 этажа","3.1 м","monolithic","shell",145,"na","autonomous","Не указано","фиброцементные панели","surface","127","almaty"
102,"Клубный дом W в Алматы",690000,"Строящийся","I квартал 2024 г.","Алматы, Наурызбайский р-н, ул. Егора Редько, 3","SHEBERGROUP","https://krisha.kz/complex/show/almaty/klubniydomw/","business","4 этажа","3.1 м","monolithic","pre-finish",92,"both","central","грузопассажирский","декоративная штукатурка","underground","Не указано","almaty"
103,"Клубный дом на Жамакаева в Алматы",950000,"Строящийся","II квартал 2024 г.","Алматы, Медеуский р-н, ул. Жамакаева, 254/4","Atrix Group","https://krisha.kz/complex/show/almaty/nazhamakayeva/","business","3 этажа","3 м","monolithic","pre-finish",78,"discrete","na","грузопассажирский","Не указано","underground","7","almaty"
104,"Коттеджный городок Belbulaq Hills Townhouse в Алматы",315000,"Строящийся","I квартал 2023 г.","Алматы, Талгарский район, с/o Бельбулак","TOO Salem Qurylys","https://krisha.kz/complex/show/almaty/belbulaqhills/","comfort","3 этажа","3.2 м","monolithic","pre-finish",26,"na","na","Не указано","Не указано","surface","Не указано","almaty"
105,"ЖК Belleview в Алматы",NA,"Строящийся","I квартал 2023 г.","Алматы, Бостандыкский р-н, ул. ​Каппарова, 187","TOO Mangosteen development","https://krisha.kz/complex/show/almaty/belleview/","elite","3 этажа","3 м","brick","pre-finish",2,"na","na","Не указано","Не указано","underground","Не указано","almaty"
106,"ЖК MontBlanc в Алматы",NA,"Строящийся","2023 г.","Алматы, Бостандыкский р-н, Ремизовка","NB Holding","https://krisha.kz/complex/show/almaty/montblanc/","elite","3 этажа","3.4 м","monolithic","pre-finish",93,"na","autonomous","Не указано","Не указано","na","Не указано","almaty"
107,"ЖК Buta Legacy в Алматы",425000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - IV квартал 2023 г.Третья очередь - II квартал 2024 г.","Алматы, Турксибский р-н, мкр. Кайрат, улица Тараз 1/1","Buta Group","https://krisha.kz/complex/show/almaty/butalegacy/","comfort","5 этажей","2.85 м","monolithic","shell",1218,"discrete","central","пассажирский","фиброцементные панели, керамогранит","surface","1","almaty"
108,"ЖК Time City в Алматы",320000,"Строящийся","Первая очередь - III квартал 2023 г.Вторая очередь - III квартал 2023 г.Третья очередь - I квартал 2024 г.Четвертая очередь - IV квартал 2023 г.Пятая очередь - II квартал 2024 г.Шестая очередь - IV квартал 2024 г.","Алматы, Турксибский р-н, мкр. Кайрат,​ 24-я улица, 1/1а","Time Group","https://krisha.kz/complex/show/almaty/timecity/","comfort","9 этажей","2.75 м","monolithic","shell",3960,"na","central","пассажирский","Не указано","surface","800","almaty"
109,"ЖК Gres City в Алматы",360000,"Строящийся","IV квартал 2023 г.","Алматы, посёлок Отеген Батыра,ул.Титова, участок №12A","Profi Stroy Group","https://krisha.kz/complex/show/almaty/grescity/","comfort","12 этажей","3 м","monolithic","pre-finish",110,"both","autonomous","грузовой, пассажирский","облицовочный кирпич","surface","110","almaty"
110,"ЖК ORDA CITY в Алматы",350000,"Строящийся","IV квартал 2023 г.","Алматы, Алатауский р-н, мкр Теректы, ул Айналмалы, 183","ТОО Investment Stroy","https://krisha.kz/complex/show/almaty/ordacity/","comfort","5 этажей","2.8 м","monolithic","pre-finish",550,"na","autonomous","Не указано","Не указано","surface","462","almaty"
111,"ЖК Nomad City в Алматы",450000,"Строящийся","Первая очередь - IV квартал 2019 г.Вторая очередь - III квартал 2020 г.Третья очередь - I квартал 2021 г.Четвертая очередь - III квартал 2023 г.","Алматы, Турксибский р-н, мкр. Кайрат, 152/1","Myntas Stroy","https://krisha.kz/complex/show/almaty/nomadcity/","comfort","3 этажа","3 м","monolithic","pre-finish",324,"na","na","Не указано","Не указано","surface","Не указано","almaty"
112,"ЖК Country Club Talgar в Алматы",650000,"Строящийся","III квартал 2023 г.","Алматы, Медеуский р-н, Талгарская трасса, посёлок Бельбулак","Estatе Co.","https://krisha.kz/complex/show/almaty/countryclubtalgar/","elite","1 этаж","5 м","monolithic","shell",59,"both","autonomous","Не указано","фиброцементные панели","surface","Не указано","almaty"
113,"ЖК Nurly Dala в Алматы",NA,"Строящийся","Первая очередь - IV квартал 2020 г.Вторая очередь - III квартал 2021 г.Третья очередь - IV квартал 2022 г.Четвертая очередь - IV квартал 2023 г.","Алматы, Наурызбайский р-н, ул. Райымбека - ул. Жуалы","ТОО ""Строй Комфорт Девелопмент""","https://krisha.kz/complex/show/almaty/nurlydala/","economy","9 этажей","2.69 м","monolithic","shell",234,"both","central","пассажирский","Не указано","surface","Не указано","almaty"
114,"ЖК Domino life в Алматы",NA,"Строящийся","I квартал 2023 г.","Алматы, Медеуский р-н, ул. Жамакаева, 308","Interstroy Engineering","https://krisha.kz/complex/show/almaty/dominolife/","elite","3 этажа","3.5 м","brick","pre-finish",30,"na","autonomous","пассажирский","Не указано","both","25","almaty"
115,"ЖК Exclusive Duet в Алматы",970000,"Строящийся","IV квартал 2023 г.","Алматы, Бостандыкский р-н, проспект Абая, 28а​","Exclusive Qurylys","https://krisha.kz/complex/show/almaty/exclusiveduet/","business","12 этажей","3.1 м","monolithic","shell",132,"discrete","central","пассажирский, грузопассажирский","клинкерный кирпич, hpl-панели","underground","57","almaty"
116,"ЖК Eco Park в Алматы",970000,"Строящийся","IV квартал 2023 г.","Алматы, Бостандыкский р-н, Микрорайон Ерменсай, ул. Талапты, 30","DAS CONSTRUCTION","https://krisha.kz/complex/show/almaty/ecopark/","elite","3 этажа","3.3 м","monolithic","pre-finish",27,"na","na","грузопассажирский","Не указано","underground","Не указано","almaty"
117,"ЖК Etasa Residence в Алматы",675000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - III квартал 2024 г.","Алматы, Бостандыкский р-н, ул. Жарокова, уч. 218","Etasa Construction","https://krisha.kz/complex/show/almaty/etasaresidence/","business","16-18 этажей","3 м","monolithic","pre-finish",273,"discrete","central","грузовой, пассажирский","фиброцементные панели","both","Не указано","almaty"
118,"ЖК Everest в Алматы",440000,"Строящийся","II квартал 2023 г.","Алматы, ул. Утеген батыра, 11","Everest Development","https://krisha.kz/complex/show/almaty/everest/","comfort","12-15-16-18 этажей","3 м","monolithic","pre-finish",800,"na","na","Не указано","Не указано","underground","Не указано","almaty"
119,"ЖК Flora в Алматы",NA,"Строящийся","IV квартал 2023 г.","Алматы, Наурызбайский р-н, мкр.Тастыбулак, ул.Таутаган 6","Flora City Stroy","https://krisha.kz/complex/show/almaty/flora/","comfort","3 этажа","3 м","monolithic","shell",36,"discrete","central","Не указано","Не указано","surface","24","almaty"
120,"ЖК Graff в Алматы",NA,"Строящийся","IV квартал 2023 г.","Алматы, Бостандыкский р-н, ул. 7-переулок, 67","ЖШС ҚАРАҒАЙЛЫ ҚҰРЫЛЫС","https://krisha.kz/complex/show/almaty/graff/","elite","3 этажа","3 м","brick","shell",60,"discrete","autonomous","Не указано","травертин","both","60","almaty"
121,"ЖК Wonder Hills в Алматы",NA,"Строящийся","2023 г.","Алматы, Бостандыкский р-н, мкр Ерменсай","GD Group LTD","https://krisha.kz/complex/show/almaty/wonderhills/","comfort","2 этажа","3 м","brick","pre-finish",50,"both","autonomous","Не указано","Не указано","underground","Не указано","almaty"
122,"Коттеджный городок Regis Hills в Алматы",768000,"Строящийся","III квартал 2023 г.","Алматы, Бостандыкский р-н, мкр. Ерменсай, ​3-й переулок, 46","BI Group","https://krisha.kz/complex/show/Almaty/regishills/","business","2 этажа","3.6 м","monolithic","pre-finish",14,"na","autonomous","Не указано","вентилируемый фасад","surface","Не указано","almaty"
123,"ЖК Iris Home в Алматы",399000,"Строящийся","Первая очередь - III квартал 2022 г.Вторая очередь - I квартал 2023 г.","Алматы, Наурызбайский р-н, ул. Саудакент, 20","TOPOLOV GROUP","https://krisha.kz/complex/show/almaty/irishome/","comfort","2-3 этажа","3 м","brick","shell",33,"discrete","autonomous","Не указано","декоративная штукатурка","surface","Не указано","almaty"
124,"Коттеджный городок Tiny Houses в Алматы",461538,"Строящийся","I квартал 2023 г.","Алматы, Талгарский район, Панфиловский сельский округ, село Панфилово, с/т Талгар-Маралсай, улица Садовая, 4","Pine Hills Group","https://krisha.kz/complex/show/almaty/tinyhouses/","comfort","1 этаж","2.9 м","panel","finish",20,"discrete","na","Не указано","натуральное дерево","surface","15","almaty"
