"ads","Название","price","Статус","date","Адрес","Застройщик","Ссылка","class","floor","ceiling","structure","finishing","Количество.квартир","kitchen","heating","Лифт","Фасад","parking","Квартир.в.продаже","city"
19,"ЖК Manhattan в Караганде",270000,"Строящийся","III квартал 2023 г.","Караганда, Казыбек би р-н, улица Таттимбета, участок 10Б","КапиталСтрой-XXI","https://krisha.kz/complex/show/karaganda/manhattan/","business","9 этажей","3 м","brick","pre-finish",72,"discrete","central","пассажирский","облицовочный кирпич","surface","37","karaganda"
20,"ЖК Мерей в Караганде",285000,"Строящийся","II квартал 2023 г.","Караганда, 137-й учетный квартал, 599","ТОО Жилой фонд","https://krisha.kz/complex/show/karaganda/merei/","comfort","10 этажей","3 м","brick","pre-finish",232,"na","na","Не указано","Не указано","surface","Не указано","karaganda"
21,"ЖК Otbasym в Караганде",320000,"Строящийся","IV квартал 2023 г.","Караганда, ул. Рыскулова","Construction Training Resources","https://krisha.kz/complex/show/karaganda/otbasym/","comfort","5 этажей","3 м","brick","shell",45,"discrete","central","пассажирский","Не указано","na","45","karaganda"
22,"ЖК Таугуль в Караганде",250000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - III квартал 2023 г.","Караганда, Казыбек би р-н, ул. Муканова, 78","ТОО Жилой фонд","https://krisha.kz/complex/show/karaganda/taugul/","comfort","10-14 этажей","3 м","monolithic","pre-finish",198,"discrete","central","грузовой, пассажирский, грузопассажирский","Не указано","surface","198","karaganda"
23,"ЖК Zaman в Караганде",372400,"Строящийся","I квартал 2023 г.","Караганда, ул. Букетова, 60а, район нового центра","Prof Invest","https://krisha.kz/complex/show/karaganda/zaman/","elite","10 этажей","3 м","brick","pre-finish",171,"na","na","пассажирский","Не указано","surface","Не указано","karaganda"
0,"Клубный дом Арман в Каскелене",270000,"Строящийся","II квартал 2024 г.","Каскелен, ул. Акан-Серы, участок 51","Нитос Групп","https://krisha.kz/complex/show/kaskelen/kdarman/","comfort","3 этажа","2.9 м","monolithic","shell",15,"na","central","пассажирский","Не указано","surface","14","kaskelen"
1,"ЖК HOME SAU в Каскелене",250000,"Строящийся","I квартал 2024 г.","Каскелен, ул. Абылай хана, 200","ТОО Торедо","https://krisha.kz/complex/show/almaty/homesau/","comfort","3 этажа","3 м","monolithic","pre-finish",10,"na","autonomous","пассажирский","Не указано","surface","3","kaskelen"
2,"ЖК Kemel-Ui в Каскелене",3e+05,"Строящийся","Первая очередь - II квартал 2024 г.Вторая очередь - III квартал 2024 г.Третья очередь - IV квартал 2024 г.Четвертая очередь - II квартал 2025 г.","Каскелен, ул. Жангозина, 61Б","Каз Строй Монолит","https://krisha.kz/complex/show/kaskelen/kemelui/","comfort","3 этажа","2.8 м","monolithic","pre-finish",777,"both","autonomous","Не указано","декоративная штукатурка","surface","100","kaskelen"
3,"ЖК Arnau 2.0 в Каскелене",265000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - IV квартал 2023 г.Третья очередь - III квартал 2024 г.","Каскелен, ул. Абылай хана, 2/5","Time Group","https://krisha.kz/complex/show/kaskelen/arnau/","comfort","5 этажей","2.75 м","monolithic","shell",440,"na","central","пассажирский","Не указано","surface","120","kaskelen"
4,"ЖК HOME Южный в Каскелене",2e+05,"Строящийся","IV квартал 2023 г.","Каскелен, мкр.Южный","ТОО Торедо","https://krisha.kz/complex/show/kaskelen/ujniy/","economy","2 этажа","3 м","monolithic","pre-finish",44,"na","autonomous","Не указано","Не указано","surface","44","kaskelen"
5,"ЖК HOME MAK в Каскелене",3e+05,"Строящийся","IV квартал 2023 г.","Каскелен, ул. Макашева - ул. Бокина, 54/56","ТОО Торедо","https://krisha.kz/complex/show/kaskelen/homemak/","economy","3 этажа","3 м","monolithic","pre-finish",34,"na","autonomous","Не указано","Не указано","surface","7","kaskelen"
0,"ЖК Terekti Park в Коксай (пути Ильича)",330000,"Строящийся","IV квартал 2025 г.","Коксай (Путь Ильича), ул. Устирт, 2936а/1","Каз Строй Монолит","https://krisha.kz/complex/show/almaty/terekti/","comfort","3 этажа","2.8 м","monolithic","pre-finish",1200,"both","autonomous","Не указано","декоративная штукатурка","surface","731","koksaj"
0,"ЖК QAZYNA в Кокшетау",315000,"Строящийся","III квартал 2024 г.","Кокшетау, Центральный парк","НАШ ДОМ","https://krisha.kz/complex/show/kokshetau/qazyna/","comfort","10 этажей","2.8 м","brick","shell",117,"discrete","central","пассажирский","фиброцементные панели","surface","27","kokshetau"
1,"ЖК Нур Амир 1 в Кокшетау",230000,"Строящийся","I квартал 2025 г.","Кокшетау, ул. Ташенова, уч.129","НурАмир Строй","https://krisha.kz/complex/show/kokshetau/nuramir1/","comfort","6 этажей","2.75 м","brick","pre-finish",105,"discrete","central","Не указано","Не указано","surface","53","kokshetau"
2,"ЖК Al-Farabi town в Кокшетау",275000,"Строящийся","II квартал 2025 г.","Кокшетау, ул.Кенесары 64","ТОО М-АРИАСТРОЙ","https://krisha.kz/complex/show/kokshetau/al-farabitown/","comfort","9 этажей","2.7 м","brick","pre-finish",72,"discrete","central","пассажирский","Не указано","na","60","kokshetau"
3,"ЖК Радужный квартал в Кокшетау",260000,"Строящийся","II квартал 2025 г.","Кокшетау, мкр Сары-Арка, 13А","M-BIG ИП Тюлюбаева А.А","https://krisha.kz/complex/show/koksehtau/raduzhniykvartal/","comfort","12 этажей","2.7 м","monolithic","pre-finish",156,"na","na","грузовой, пассажирский","Не указано","surface","Не указано","kokshetau"
4,"ЖК CHICAGO в Кокшетау",380000,"Строящийся","Первая очередь - I квартал 2024 г.Вторая очередь - IV квартал 2024 г.","Кокшетау, ул. Е. Ауельбекова, 120 А","ТОО КомфортСтрой2020","https://krisha.kz/complex/show/kokshetau/chicago/","business","10 этажей","2.85 м","brick","pre-finish",360,"discrete","central","грузопассажирский","Не указано","both","300","kokshetau"
5,"ЖК Tumar Deluxe в Кокшетау",435000,"Строящийся","I квартал 2024 г.","Кокшетау, ул. Канай би 32А","Ademi Holding","https://krisha.kz/complex/show/kokshetau/tumardeluxe/","business","13 этажей","3 м","brick","pre-finish",99,"discrete","central","грузовой, пассажирский","облицовочный кирпич","both","99","kokshetau"
6,"ЖК Кымбат в Кокшетау",290000,"Строящийся","IV квартал 2024 г.","Кокшетау, Центральный микрорайон, 41","Dos Bauyr","https://krisha.kz/complex/show/kokshetai/kymbat/","comfort","5 этажей","2.7 м","brick","pre-finish",50,"discrete","central","Не указано","Не указано","both","16","kokshetau"
